RT(milliseconds);TIC
148900;2,2737029
149000;2,1676607
149100;2,2840862
149200;1,9677972
149300;1,9396274
149400;2,6184947
149500;3,1319585
149600;3,1599927
149700;2,9311714
149800;2,470161
149900;1,924068
150000;1,6362658
150100;1,6469879
150200;2,5432422
150300;3,5455792
150400;4,3711243
150500;4,81612
150600;5,443922
150700;5,907558
150800;6,1695647
150900;5,901682
151000;5,3623104
151100;4,8207874
151200;4,9454803
151300;4,920223
151400;4,2837715
151500;3,1708794
151600;2,6343367
151700;2,847794
151800;3,2623286
151900;3,143263
152000;3,1475587
152100;3,2558746
152200;3,0641108
152300;3,0367277
152400;3,2292244
152500;2,9944797
152600;2,598896
152700;2,6715107
152800;2,8306687
152900;2,6859596
153000;2,7014916
153100;2,546629
153200;2,1215389
153300;2,0993714
153400;2,0270138
153500;1,920782
153600;1,5865073
153700;0,86607385
153800;0,82888156
153900;1,8790536
154000;2,1326864
154100;1,3616759
154200;0,94248897
154300;1,043375
154400;1,8172412
154500;2,7270799
154600;3,4876895
154700;5,0513434
154800;7,0575714
154900;8,392147
155000;8,684166
155100;8,044593
155200;7,951457
155300;8,398591
155400;7,694806
155500;6,528906
155600;5,2390943
155700;3,7604759
155800;3,4632814
155900;3,2693722
156000;2,6203084
156100;2,4161448
156200;2,9503458
156300;4,391563
156400;5,42081
156500;5,437242
156600;6,388955
156700;7,5081906
156800;8,257504
156900;8,83535
157000;8,519367
157100;7,4226665
157200;6,5690894
157300;5,7766027
157400;4,396196
157500;2,0469656
157600;1,4802029
157700;1,142675
157800;0,79921055
157900;0,8672965
158000;0,58870625
158100;0,9667105
158200;1,5331113
158300;0,9976769
158400;0,64504373
158500;1,1409864
158600;1,424497
158700;1,1098236
158800;0,9765319
158900;1,585049
159000;1,503897
159100;0,737445
159200;0,67466325
159300;0,62344337
159400;0,2846198
159500;0,6847535
159600;0,7439604
159700;0,86195016
159800;1,1698692
159900;0,5270331
160000;0,1
160100;0,1
160200;0,2617762
160300;0,81383896
160400;1,3421147
160500;2,1133451
160600;1,7336515
160700;0,8088974
160800;0,7903941
160900;1,1464146
161000;1,3636229
161100;1,4150186
161200;1,1437212
161300;0,9364387
161400;0,98442715
161500;0,88905287
161600;1,209485
161700;2,364519
161800;3,2560394
161900;3,8513048
162000;4,8241262
162100;9,037167
162200;15,071739
162300;21,682793
162400;29,63334
162500;36,79895
162600;41,450912
162700;43,176376
162800;41,76275
162900;37,950096
163000;33,181957
163100;28,56999
163200;24,386734
163300;20,079416
163400;15,654737
163500;12,992455
163600;11,431923
163700;9,956579
163800;9,156747
163900;7,4845953
164000;5,44241
164100;5,5096846
164200;5,0078855
164300;3,6552284
164400;3,3847184
164500;3,5507302
164600;4,3610744
164700;4,618085
164800;4,0485783
164900;3,389457
165000;3,243276
165100;3,8657568
165200;4,1404376
165300;3,2809844
165400;2,560023
165500;2,4729168
165600;2,532395
165700;2,6005118
165800;2,652323
165900;2,5047343
166000;2,7520678
166100;2,9534225
166200;2,5628319
166300;2,4358292
166400;2,5988035
166500;2,6528072
166600;3,000891
166700;3,1605709
166800;2,6827579
166900;2,2573164
167000;2,4859588
167100;2,4299026
167200;1,6495372
167300;1,4768996
167400;2,4424067
167500;3,0172093
167600;2,0705364
167700;1,1314242
167800;1,4672633
167900;1,2115169
168000;1,2006903
168100;1,8321843
168200;1,5494583
168300;1,1143827
168400;1,0294505
168500;1,5636883
168600;2,4286695
168700;2,0033207
168800;1,497204
168900;2,180612
169000;2,2227662
169100;1,894665
169200;1,9231763
169300;1,5524651
169400;1,4278345
169500;1,8505417
169600;2,1979523
169700;1,8125108
169800;2,1827757
169900;2,9320946
170000;2,4908352
170100;2,1716077
170200;2,6616654
170300;2,8432987
170400;2,0909967
170500;1,5268961
170600;1,8979295
170700;1,8688778
170800;0,97815853
170900;0,52298224
171000;0,08364649
171100;0,1
171200;0,9478142
171300;1,2961581
171400;0,7559887
171500;0,5711876
171600;0,72513646
171700;0,66960734
171800;0,27024013
171900;0,11086227
172000;0,5394962
172100;0,8129065
172200;0,8001947
172300;1,3293726
172400;1,7485995
172500;2,1041515
172600;2,6339417
172700;2,7974336
172800;2,5370452
172900;2,7919729
173000;3,290642
173100;3,3269725
173200;4,1738324
173300;4,489853
173400;4,559224
173500;4,7340016
